Dart_MT,dbo,OSUSR_13U__MLFILTERTYPE,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLFILTERTYPE,OBJECT,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLMESSAGESOURCE,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLMESSAGESOURCE,LABEL,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLMESSAGESOURCE,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLMESSAGESOURCE,_LOCALE,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLTRANSITION,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLTRANSITION,ID,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLTRANSITION,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLTRANSITION,_LOCALE,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLTRANSITION,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLTRANSITION,LABEL,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLWIJMOTHEME,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLWIJMOTHEME,NAME,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLWIJMOTHEME,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLWIJMOTHEME,_LOCALE,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U__MLWIJMOTHEME,BASE TABLE,Dart_MT,dbo,OSUSR_13U__MLWIJMOTHEME,LABEL,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_13U_ALIGN,BASE TABLE,Dart_MT,dbo,OSUSR_13U_ALIGN,ID,1,NULL,NO,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL,dbo,OSUSR_13U_ALIGN,ID
